PRODUCT_ID,DATE,FORECASTED_SALES
1,2024-08-01,186
1,2024-08-02,137
1,2024-08-03,54
1,2024-08-04,119
1,2024-08-05,36
1,2024-08-06,95
1,2024-08-07,138
1,2024-08-08,18
1,2024-08-09,86
1,2024-08-10,163
1,2024-08-11,84
1,2024-08-12,5
1,2024-08-13,49
1,2024-08-14,163
1,2024-08-15,187
1,2024-08-16,173
1,2024-08-17,17
1,2024-08-18,49
1,2024-08-19,65
1,2024-08-20,145
1,2024-08-21,5
1,2024-08-22,89
1,2024-08-23,165
1,2024-08-24,34
1,2024-08-25,39
1,2024-08-26,25
1,2024-08-27,170
1,2024-08-28,93
1,2024-08-29,56
1,2024-08-30,55
1,2024-08-31,43
2,2024-08-01,188
2,2024-08-02,90
2,2024-08-03,91
2,2024-08-04,94
2,2024-08-05,91
2,2024-08-06,177
2,2024-08-07,118
2,2024-08-08,40
2,2024-08-09,29
2,2024-08-10,18
2,2024-08-11,182
2,2024-08-12,77
2,2024-08-13,196
2,2024-08-14,118
2,2024-08-15,17
2,2024-08-16,51
2,2024-08-17,20
2,2024-08-18,22
2,2024-08-19,120
2,2024-08-20,9
2,2024-08-21,183
2,2024-08-22,69
2,2024-08-23,40
2,2024-08-24,151
2,2024-08-25,42
2,2024-08-26,112
2,2024-08-27,192
2,2024-08-28,175
2,2024-08-29,9
2,2024-08-30,70
2,2024-08-31,120
3,2024-08-01,119
3,2024-08-02,200
3,2024-08-03,76
3,2024-08-04,45
3,2024-08-05,153
3,2024-08-06,142
3,2024-08-07,38
3,2024-08-08,173
3,2024-08-09,37
3,2024-08-10,46
3,2024-08-11,173
3,2024-08-12,171
3,2024-08-13,119
3,2024-08-14,54
3,2024-08-15,16
3,2024-08-16,149
3,2024-08-17,46
3,2024-08-18,142
3,2024-08-19,82
3,2024-08-20,132
3,2024-08-21,166
3,2024-08-22,85
3,2024-08-23,153
3,2024-08-24,92
3,2024-08-25,50
3,2024-08-26,26
3,2024-08-27,57
3,2024-08-28,127
3,2024-08-29,88
3,2024-08-30,143
3,2024-08-31,63
4,2024-08-01,49
4,2024-08-02,197
4,2024-08-03,101
4,2024-08-04,11
4,2024-08-05,66
4,2024-08-06,9
4,2024-08-07,23
4,2024-08-08,51
4,2024-08-09,9
4,2024-08-10,95
4,2024-08-11,27
4,2024-08-12,70
4,2024-08-13,79
4,2024-08-14,46
4,2024-08-15,174
4,2024-08-16,168
4,2024-08-17,83
4,2024-08-18,42
4,2024-08-19,26
4,2024-08-20,32
4,2024-08-21,77
4,2024-08-22,39
4,2024-08-23,156
4,2024-08-24,138
4,2024-08-25,78
4,2024-08-26,99
4,2024-08-27,85
4,2024-08-28,25
4,2024-08-29,72
4,2024-08-30,106
4,2024-08-31,114
5,2024-08-01,22
5,2024-08-02,109
5,2024-08-03,46
5,2024-08-04,54
5,2024-08-05,118
5,2024-08-06,129
5,2024-08-07,91
5,2024-08-08,14
5,2024-08-09,47
5,2024-08-10,164
5,2024-08-11,182
5,2024-08-12,77
5,2024-08-13,13
5,2024-08-14,118
5,2024-08-15,67
5,2024-08-16,9
5,2024-08-17,27
5,2024-08-18,111
5,2024-08-19,171
5,2024-08-20,115
5,2024-08-21,11
5,2024-08-22,103
5,2024-08-23,27
5,2024-08-24,62
5,2024-08-25,78
5,2024-08-26,69
5,2024-08-27,50
5,2024-08-28,98
5,2024-08-29,87
5,2024-08-30,96
5,2024-08-31,64
6,2024-08-01,145
6,2024-08-02,10
6,2024-08-03,27
6,2024-08-04,129
6,2024-08-05,72
6,2024-08-06,85
6,2024-08-07,106
6,2024-08-08,139
6,2024-08-09,189
6,2024-08-10,153
6,2024-08-11,126
6,2024-08-12,122
6,2024-08-13,12
6,2024-08-14,76
6,2024-08-15,19
6,2024-08-16,21
6,2024-08-17,120
6,2024-08-18,143
6,2024-08-19,196
6,2024-08-20,190
6,2024-08-21,133
6,2024-08-22,153
6,2024-08-23,178
6,2024-08-24,158
6,2024-08-25,123
6,2024-08-26,110
6,2024-08-27,170
6,2024-08-28,30
6,2024-08-29,138
6,2024-08-30,60
6,2024-08-31,64
7,2024-08-01,18
7,2024-08-02,160
7,2024-08-03,175
7,2024-08-04,37
7,2024-08-05,26
7,2024-08-06,38
7,2024-08-07,97
7,2024-08-08,70
7,2024-08-09,24
7,2024-08-10,26
7,2024-08-11,79
7,2024-08-12,174
7,2024-08-13,99
7,2024-08-14,39
7,2024-08-15,35
7,2024-08-16,16
7,2024-08-17,25
7,2024-08-18,131
7,2024-08-19,8
7,2024-08-20,174
7,2024-08-21,189
7,2024-08-22,108
7,2024-08-23,40
7,2024-08-24,170
7,2024-08-25,154
7,2024-08-26,28
7,2024-08-27,88
7,2024-08-28,188
7,2024-08-29,22
7,2024-08-30,57
7,2024-08-31,114
8,2024-08-01,189
8,2024-08-02,62
8,2024-08-03,177
8,2024-08-04,134
8,2024-08-05,48
8,2024-08-06,36
8,2024-08-07,148
8,2024-08-08,129
8,2024-08-09,171
8,2024-08-10,181
8,2024-08-11,81
8,2024-08-12,46
8,2024-08-13,108
8,2024-08-14,112
8,2024-08-15,26
8,2024-08-16,26
8,2024-08-17,196
8,2024-08-18,106
8,2024-08-19,87
8,2024-08-20,188
8,2024-08-21,180
8,2024-08-22,102
8,2024-08-23,182
8,2024-08-24,5
8,2024-08-25,146
8,2024-08-26,109
8,2024-08-27,51
8,2024-08-28,155
8,2024-08-29,175
8,2024-08-30,46
8,2024-08-31,53
9,2024-08-01,169
9,2024-08-02,50
9,2024-08-03,74
9,2024-08-04,120
9,2024-08-05,162
9,2024-08-06,168
9,2024-08-07,78
9,2024-08-08,172
9,2024-08-09,189
9,2024-08-10,183
9,2024-08-11,47
9,2024-08-12,7
9,2024-08-13,10
9,2024-08-14,195
9,2024-08-15,150
9,2024-08-16,103
9,2024-08-17,10
9,2024-08-18,56
9,2024-08-19,60
9,2024-08-20,60
9,2024-08-21,30
9,2024-08-22,118
9,2024-08-23,148
9,2024-08-24,31
9,2024-08-25,70
9,2024-08-26,72
9,2024-08-27,82
9,2024-08-28,177
9,2024-08-29,36
9,2024-08-30,171
9,2024-08-31,16
10,2024-08-01,159
10,2024-08-02,14
10,2024-08-03,196
10,2024-08-04,176
10,2024-08-05,141
10,2024-08-06,95
10,2024-08-07,96
10,2024-08-08,148
10,2024-08-09,55
10,2024-08-10,67
10,2024-08-11,184
10,2024-08-12,43
10,2024-08-13,32
10,2024-08-14,6
10,2024-08-15,28
10,2024-08-16,22
10,2024-08-17,83
10,2024-08-18,82
10,2024-08-19,10
10,2024-08-20,53
10,2024-08-21,157
10,2024-08-22,119
10,2024-08-23,57
10,2024-08-24,80
10,2024-08-25,9
10,2024-08-26,53
10,2024-08-27,191
10,2024-08-28,63
10,2024-08-29,35
10,2024-08-30,173
10,2024-08-31,83
11,2024-08-01,171
11,2024-08-02,29
11,2024-08-03,17
11,2024-08-04,109
11,2024-08-05,144
11,2024-08-06,123
11,2024-08-07,177
11,2024-08-08,196
11,2024-08-09,197
11,2024-08-10,192
11,2024-08-11,103
11,2024-08-12,184
11,2024-08-13,10
11,2024-08-14,81
11,2024-08-15,179
11,2024-08-16,131
11,2024-08-17,185
11,2024-08-18,132
11,2024-08-19,126
11,2024-08-20,70
11,2024-08-21,73
11,2024-08-22,61
11,2024-08-23,64
11,2024-08-24,72
11,2024-08-25,60
11,2024-08-26,118
11,2024-08-27,142
11,2024-08-28,48
11,2024-08-29,40
11,2024-08-30,121
11,2024-08-31,52
12,2024-08-01,148
12,2024-08-02,25
12,2024-08-03,55
12,2024-08-04,11
12,2024-08-05,35
12,2024-08-06,29
12,2024-08-07,19
12,2024-08-08,45
12,2024-08-09,56
12,2024-08-10,40
12,2024-08-11,26
12,2024-08-12,131
12,2024-08-13,165
12,2024-08-14,100
12,2024-08-15,195
12,2024-08-16,143
12,2024-08-17,113
12,2024-08-18,85
12,2024-08-19,16
12,2024-08-20,11
12,2024-08-21,51
12,2024-08-22,174
12,2024-08-23,72
12,2024-08-24,71
12,2024-08-25,126
12,2024-08-26,76
12,2024-08-27,51
12,2024-08-28,59
12,2024-08-29,36
12,2024-08-30,135
12,2024-08-31,163
13,2024-08-01,125
13,2024-08-02,196
13,2024-08-03,184
13,2024-08-04,103
13,2024-08-05,82
13,2024-08-06,91
13,2024-08-07,52
13,2024-08-08,10
13,2024-08-09,154
13,2024-08-10,57
13,2024-08-11,184
13,2024-08-12,94
13,2024-08-13,83
13,2024-08-14,148
13,2024-08-15,142
13,2024-08-16,129
13,2024-08-17,75
13,2024-08-18,41
13,2024-08-19,121
13,2024-08-20,127
13,2024-08-21,186
