PRODUCT_ID,BATCH_ID,EXPIRY_DATE,INVENTORY
1,1,09/08/2024,32
1,2,10/08/2024,59
1,3,11/08/2024,34
1,4,20/08/2024,39
1,5,21/08/2024,37
1,6,22/08/2024,73
1,7,28/08/2024,25
2,1,03/08/2024,67
2,2,17/08/2024,36
2,3,27/08/2024,70
2,4,29/08/2024,43
2,5,30/08/2024,50
3,1,06/08/2024,65
3,2,15/08/2024,47
3,3,17/08/2024,39
3,4,21/08/2024,44
3,5,22/08/2024,50
3,6,24/08/2024,48
3,7,25/08/2024,62
4,1,06/08/2024,75
4,2,15/08/2024,68
4,3,17/08/2024,43
4,4,19/08/2024,56
4,5,21/08/2024,57
4,6,24/08/2024,32
4,7,26/08/2024,52
5,1,01/08/2024,50
5,2,14/08/2024,62
5,3,16/08/2024,78
5,4,18/08/2024,32
5,5,30/08/2024,46
6,1,01/08/2024,58
6,2,04/08/2024,36
6,3,09/08/2024,35
6,4,17/08/2024,25
6,5,19/08/2024,34
6,6,26/08/2024,46
6,7,31/08/2024,38
7,1,01/08/2024,62
7,2,04/08/2024,23
7,3,05/08/2024,52
7,4,07/08/2024,49
7,5,09/08/2024,63
7,6,12/08/2024,11
7,7,19/08/2024,19
8,1,06/08/2024,60
8,2,08/08/2024,34
8,3,13/08/2024,69
8,4,17/08/2024,73
8,5,19/08/2024,49
8,6,28/08/2024,34
8,7,29/08/2024,31
9,1,07/08/2024,41
9,2,09/08/2024,34
9,3,10/08/2024,72
9,4,12/08/2024,50
9,5,17/08/2024,76
9,6,26/08/2024,37
9,7,28/08/2024,46
10,1,06/08/2024,53
10,2,08/08/2024,60
10,3,17/08/2024,60
10,4,22/08/2024,39
10,5,31/08/2024,64
11,1,11/08/2024,32
11,2,14/08/2024,53
11,3,17/08/2024,29
11,4,23/08/2024,48
11,5,24/08/2024,52
11,6,31/08/2024,48
12,1,01/08/2024,57
12,2,03/08/2024,51
12,3,07/08/2024,54
12,4,14/08/2024,58
12,5,18/08/2024,67
12,6,21/08/2024,81
12,7,22/08/2024,52
13,1,04/08/2024,53
13,2,10/08/2024,68
13,3,15/08/2024,61
13,4,17/08/2024,62
13,5,20/08/2024,54
14,1,08/08/2024,70
14,2,09/08/2024,65
14,3,13/08/2024,47
14,4,23/08/2024,62
14,5,30/08/2024,64
15,1,08/08/2024,62
15,2,09/08/2024,37
15,3,19/08/2024,75
15,4,21/08/2024,38
15,5,24/08/2024,27
15,6,25/08/2024,33
15,7,30/08/2024,48
16,1,08/08/2024,77
16,2,10/08/2024,29
16,3,18/08/2024,46
16,4,23/08/2024,51
16,5,28/08/2024,49
17,1,01/08/2024,79
17,2,09/08/2024,34
17,3,12/08/2024,62
17,4,22/08/2024,32
17,5,26/08/2024,42
17,6,28/08/2024,46
17,7,31/08/2024,56
18,1,05/08/2024,48
18,2,08/08/2024,44
18,3,17/08/2024,30
18,4,22/08/2024,56
18,5,23/08/2024,49
18,6,25/08/2024,46
18,7,29/08/2024,60
19,1,09/08/2024,53
19,2,11/08/2024,57
19,3,12/08/2024,45
19,4,15/08/2024,64
19,5,28/08/2024,34
19,6,30/08/2024,69
19,7,31/08/2024,77
20,1,02/08/2024,56
20,2,06/08/2024,31
20,3,10/08/2024,50
20,4,13/08/2024,61
20,5,26/08/2024,56
21,1,02/08/2024,64
21,2,03/08/2024,89
21,3,10/08/2024,31
21,4,13/08/2024,67
21,5,31/08/2024,51
22,1,03/08/2024,47
22,2,04/08/2024,70
22,3,11/08/2024,42
22,4,24/08/2024,39
22,5,31/08/2024,45
23,1,06/08/2024,47
23,2,07/08/2024,78
23,3,12/08/2024,39
23,4,17/08/2024,76
23,5,22/08/2024,34
23,6,31/08/2024,40
24,1,01/08/2024,17
24,2,07/08/2024,58
24,3,20/08/2024,94
24,4,21/08/2024,61
24,5,22/08/2024,52
24,6,24/08/2024,55
24,7,30/08/2024,53
25,1,08/08/2024,54
25,2,10/08/2024,37
25,3,13/08/2024,58
25,4,14/08/2024,54
25,5,22/08/2024,46
26,1,01/08/2024,52
26,2,07/08/2024,62
26,3,09/08/2024,57
26,4,16/08/2024,53
26,5,25/08/2024,46
27,1,01/08/2024,30
27,2,09/08/2024,38
27,3,18/08/2024,49
27,4,24/08/2024,62
27,5,25/08/2024,53
28,1,05/08/2024,46
28,2,07/08/2024,59
28,3,08/08/2024,44
28,4,15/08/2024,77
