PRODUCT_ID,BATCH_ID,EXPIRY_DATE,INVENTORY
1,1,01/08/2024,158
1,2,03/08/2024,145
1,3,06/08/2024,121
1,4,21/08/2024,115
1,5,22/08/2024,114
2,1,07/08/2024,87
2,2,08/08/2024,86
2,3,09/08/2024,83
2,4,12/08/2024,72
2,5,15/08/2024,65
2,6,27/08/2024,72
2,7,30/08/2024,96
3,1,05/08/2024,90
3,2,11/08/2024,87
3,3,13/08/2024,78
3,4,15/08/2024,76
3,5,17/08/2024,107
3,6,22/08/2024,71
3,7,29/08/2024,80
4,1,03/08/2024,161
4,2,15/08/2024,103
4,3,16/08/2024,136
4,4,20/08/2024,125
4,5,26/08/2024,116
4,6,29/08/2024,117
5,1,02/08/2024,138
5,2,05/08/2024,168
5,3,12/08/2024,138
5,4,14/08/2024,133
5,5,22/08/2024,154
5,6,26/08/2024,137
5,7,30/08/2024,150
6,1,02/08/2024,81
6,2,06/08/2024,83
6,3,10/08/2024,85
6,4,12/08/2024,64
6,5,29/08/2024,75
7,1,01/08/2024,131
7,2,05/08/2024,128
7,3,16/08/2024,119
7,4,22/08/2024,129
7,5,26/08/2024,112
7,6,27/08/2024,110
8,1,06/08/2024,57
8,2,09/08/2024,48
8,3,11/08/2024,77
8,4,12/08/2024,53
8,5,15/08/2024,64
8,6,20/08/2024,61
9,1,06/08/2024,149
9,2,11/08/2024,166
9,3,17/08/2024,202
9,4,24/08/2024,154
9,5,25/08/2024,163
9,6,31/08/2024,154
10,1,03/08/2024,101
10,2,06/08/2024,88
10,3,07/08/2024,103
10,4,14/08/2024,110
10,5,18/08/2024,113
11,1,11/08/2024,191
11,2,19/08/2024,160
11,3,20/08/2024,135
11,4,23/08/2024,134
11,5,31/08/2024,168
12,1,01/08/2024,169
12,2,08/08/2024,151
12,3,10/08/2024,149
12,4,19/08/2024,149
12,5,22/08/2024,151
12,6,23/08/2024,154
12,7,26/08/2024,176
13,1,02/08/2024,107
13,2,06/08/2024,115
13,3,12/08/2024,97
13,4,22/08/2024,102
13,5,23/08/2024,103
13,6,27/08/2024,121
13,7,30/08/2024,112
14,1,15/08/2024,82
14,2,20/08/2024,76
14,3,24/08/2024,95
14,4,27/08/2024,85
14,5,30/08/2024,79
15,1,04/08/2024,116
15,2,08/08/2024,98
15,3,14/08/2024,87
15,4,24/08/2024,126
15,5,30/08/2024,106
15,6,31/08/2024,94
16,1,05/08/2024,63
16,2,10/08/2024,70
16,3,18/08/2024,75
16,4,22/08/2024,69
16,5,24/08/2024,79
16,6,25/08/2024,69
16,7,30/08/2024,61
17,1,02/08/2024,75
17,2,10/08/2024,77
17,3,13/08/2024,61
17,4,14/08/2024,75
17,5,26/08/2024,64
17,6,27/08/2024,74
17,7,31/08/2024,85
18,1,02/08/2024,141
18,2,03/08/2024,140
18,3,04/08/2024,150
18,4,15/08/2024,134
18,5,19/08/2024,156
18,6,25/08/2024,143
19,1,03/08/2024,71
19,2,07/08/2024,54
19,3,10/08/2024,67
19,4,14/08/2024,37
19,5,19/08/2024,52
20,1,07/08/2024,132
20,2,10/08/2024,146
20,3,16/08/2024,132
20,4,29/08/2024,121
20,5,31/08/2024,161
21,1,04/08/2024,127
21,2,09/08/2024,103
21,3,11/08/2024,111
21,4,17/08/2024,117
21,5,19/08/2024,102
21,6,26/08/2024,105
21,7,27/08/2024,108
22,1,02/08/2024,63
22,2,23/08/2024,53
22,3,24/08/2024,78
22,4,25/08/2024,78
22,5,30/08/2024,62
23,1,06/08/2024,123
23,2,08/08/2024,124
23,3,11/08/2024,147
23,4,13/08/2024,110
23,5,17/08/2024,131
23,6,22/08/2024,106
23,7,24/08/2024,147
24,1,03/08/2024,171
24,2,12/08/2024,118
24,3,14/08/2024,134
24,4,15/08/2024,126
24,5,20/08/2024,113
24,6,23/08/2024,134
25,1,09/08/2024,66
25,2,11/08/2024,62
25,3,17/08/2024,71
25,4,23/08/2024,67
25,5,24/08/2024,80
26,1,10/08/2024,94
26,2,12/08/2024,81
26,3,13/08/2024,64
26,4,17/08/2024,73
26,5,18/08/2024,87
26,6,29/08/2024,77
26,7,30/08/2024,84
27,1,05/08/2024,65
27,2,08/08/2024,51
27,3,16/08/2024,65
27,4,20/08/2024,57
27,5,27/08/2024,65
27,6,28/08/2024,56
27,7,29/08/2024,70
28,1,02/08/2024,54
28,2,05/08/2024,56
28,3,10/08/2024,74
28,4,24/08/2024,78
28,5,25/08/2024,74
28,6,26/08/2024,43
28,7,29/08/2024,53
29,1,04/08/2024,75
29,2,09/08/2024,63
29,3,11/08/2024,85
29,4,15/08/2024,70
29,5,16/08/2024,62
29,6,23/08/2024,71
29,7,29/08/2024,66
30,1,01/08/2024,121
30,2,02/08/2024,118
30,3,10/08/2024,139
30,4,11/08/2024,170
30,5,26/08/2024,141
30,6,31/08/2024,154
31,1,07/08/2024,75
31,2,11/08/2024,132
31,3,12/08/2024,97
31,4,13/08/2024,85
31,5,16/08/2024,91
31,6,25/08/2024,129
31,7,29/08/2024,79
32,1,10/08/2024,129
32,2,13/08/2024,116
32,3,14/08/2024,111
32,4,18/08/2024,144
32,5,30/08/2024,125
33,1,01/08/2024,49
33,2,13/08/2024,48
33,3,17/08/2024,61
33,4,20/08/2024,57
33,5,24/08/2024,51
33,6,30/08/2024,52
33,7,31/08/2024,64
34,1,01/08/2024,74
34,2,05/08/2024,58
34,3,07/08/2024,70
34,4,08/08/2024,68
34,5,13/08/2024,71
34,6,19/08/2024,60
34,7,20/08/2024,78
35,1,06/08/2024,115
35,2,10/08/2024,156
35,3,16/08/2024,116
35,4,18/08/2024,139
35,5,22/08/2024,122
36,1,01/08/2024,48
36,2,04/08/2024,64
36,3,06/08/2024,50
36,4,15/08/2024,52
36,5,27/08/2024,50
36,6,28/08/2024,57
36,7,31/08/2024,54
37,1,02/08/2024,129
37,2,06/08/2024,111
37,3,10/08/2024,156
37,4,16/08/2024,123
37,5,23/08/2024,102
37,6,28/08/2024,151
38,1,06/08/2024,74
38,2,07/08/2024,58
38,3,14/08/2024,54
